Words,counts
"('sa', 'mga', 'oras')",191
"('kami', 'ngayon', 'sa')",190
"('lalo', 'na', 'sa')",190
"('ang', 'aking', 'kamay')",190
"('na', 'naman', 'ako')",190
"('kanyang', 'mga', 'mata')",190
"('hindi', 'niya', 'ako')",189
"('na', 'sila', 'sa')",189
"('hindi', 'pa', 'ako')",188
"('sa', 'maliit', 'na')",188
"('one', 'of', 'the')",188
"('ang', 'boses', 'ni')",187
"('sa', 'dami', 'ng')",187
"('ako', 'hindi', 'ko')",187
"('what', 'are', 'you')",187
"('ng', 'tingin', 'si')",187
"('hinawakan', 'ko', 'ang')",187
"('mga', 'mata', 'nito')",186
"('ang', 'malakas', 'na')",186
"('ni', 'nay', 'delia')",186
"('sa', 'kama', 'at')",186
"('sa', 'kanila', 'ang')",186
"('ako', 'sa', 'kanila')",185
"('napahawak', 'ako', 'sa')",185
"('sa', 'kanila', 'at')",184
"('bakas', 'sa', 'mukha')",184
"('din', 'siya', 'sa')",184
"('ang', 'bagay', 'na')",183
"('ko', 'na', 'hindi')",183
"('habang', 'pinagmamasdan', 'ang')",183
"('kaya', 'hindi', 'ko')",182
"('lang', 'din', 'ako')",182
"('gulat', 'na', 'tanong')",182
"('ng', 'kaniyang', 'ama')",181
"('na', 'lang', 'niya')",181
"('dahil', 'sa', 'sobrang')",181
"('na', 'lang', 'ng')",181
"('ni', 'maria', 'florencita')",180
"('kamay', 'ko', 'at')",180
"('at', 'ngayon', 'ay')",180
"('ang', 'mga', 'guardia')",180
"('habang', 'nakatingin', 'ng')",179
"('si', 'nikolas', 'sa')",179
"('na', 'tugon', 'ni')",179
"('niya', 'ang', 'kamay')",179
"('ang', 'mga', 'kamay')",179
"('siya', 'ng', 'tingin')",179
"('ang', 'aking', 'sarili')",178
"('sa', 'kanilang', 'mga')",178
"('pa', 'sana', 'si')",177
"('sa', 'tingin', 'mo')",177
"('para', 'sa', 'akin')",177
"('ang', 'mukha', 'ko')",177
"('lugar', 'na', 'ito')",177
"('sa', 'kaniya', 'ng')",177
"('ka', 'na', 'ba')",177
"('na', 'lamang', 'ang')",177
"('let', 'out', 'a')",176
"('ng', 'lahat', 'ng')",176
"('naman', 'siya', 'sa')",176
"('sabay', 'hawak', 'sa')",176
"('do', 'you', 'want')",176
"('lahat', 'ng', 'ito')",176
"('lang', 'naman', 'ang')",175
"('hindi', 'ka', 'na')",175
"('ang', 'sasabihin', 'ko')",175
"('dagdag', 'pa', 'ni')",175
"('ako', 'nang', 'bigla')",175
"('ko', 'na', 'lamang')",175
"('bago', 'pa', 'man')",174
"('ko', 'naman', 'na')",174
"('niya', 'dahilan', 'para')",174
"('niya', 'ang', 'isang')",174
"('ako', 'sa', 'loob')",174
"('ang', 'sinabi', 'ni')",174
"('sabi', 'niya', 'at')",173
"('na', 'kung', 'saan')",173
"('si', 'don', 'amadeo')",173
"('ka', 'na', 'sa')",173
"('pa', 'lang', 'ay')",172
"('kung', 'bakit', 'hindi')",172
"('sa', 'kabila', 'ng')",171
"('patuloy', 'pa', 'rin')",171
"('ko', 'ang', 'lahat')",171
"('ay', 'hindi', 'pa')",171
"('hanggang', 'ngayon', 'ay')",171
"('ito', 'sa', 'akin')",171
"('napalingon', 'ako', 'sa')",170
"('niya', 'hindi', 'ko')",170
"('sabay', 'turo', 'sa')",170
"('hindi', 'ko', 'maintindihan')",170
"('pa', 'rin', 'ito')",170
"('na', 'nasa', 'tabi')",170
"('i', 'asked', 'him')",169
"('si', 'martin', 'at')",169
"('ko', 'na', 'nga')",169
"('sa', 'tabi', 'niya')",169
"('si', 'maria', 'florencita')",169
"('alam', 'mo', 'ba')",169
"('ang', 'tingin', 'niya')",168
"('sasabihin', 'niya', 'dahil')",168
"('at', 'pilit', 'na')",168
"('oras', 'na', 'iyon')",168
"('tanong', 'niya', 'sa')",168
"('lumapit', 'sa', 'akin')",167
"('na', 'ang', 'aking')",167
"('nakatingin', 'ng', 'diretso')",167
"('mga', 'bagay', 'na')",166
"('he', 'said', 'and')",166
"('na', 'ang', 'kaniyang')",166
"('lang', 'ang', 'mga')",166
"('alam', 'kung', 'paano')",165
"('ang', 'tungkol', 'sa')",165
"('naglakad', 'papunta', 'sa')",165
"('ko', 'pa', 'ang')",165
"('na', 'kanina', 'pa')",165
"('guardia', 'civil', 'na')",164
"('hindi', 'ko', 'maiwasang')",164
"('sa', 'mga', 'taong')",163
"('naman', 'sa', 'kaniya')",163
"('ano', 'ba', 'ang')",163
"('sa', 'akin', 'hindi')",163
"('ko', 'siya', 'sa')",163
"('ni', 'celestina', 'ang')",162
"('sa', 'harapan', 'ng')",162
"('naramdaman', 'ko', 'ang')",162
"('tumingin', 'sa', 'akin')",162
"('na', 'nila', 'ang')",162
"('i', 'have', 'a')",162
"('iba', 'pang', 'mga')",161
"('ko', 'lang', 'ang')",161
"('siya', 'ngayon', 'sa')",161
"('na', 'rin', 'ng')",161
"('ilang', 'saglit', 'pa')",161
"('din', 'ang', 'mga')",161
"('na', 'puno', 'ng')",161
"('na', 'hawak', 'niya')",160
"('ang', 'mga', 'kaibigan')",160
"('ang', 'ilan', 'sa')",159
"('ako', 'sa', 'kwarto')",159
"('na', 'siya', 'ngayon')",159
"('ni', 'salome', 'at')",159
"('napatigil', 'ako', 'sa')",159
"('ko', 'ang', 'kamay')",158
"('you', 'want', 'to')",158
"('pa', 'sana', 'ako')",158
"('i', 'wanted', 'to')",158
"('naman', 'si', 'salome')",158
"('pa', 'ang', 'mga')",158
"('mata', 'ko', 'sa')",158
"('i', 'am', 'not')",158
"('i', 'said', 'and')",157
"('niya', 'na', 'hindi')",157
"('anong', 'ginagawa', 'mo')",157
"('sa', 'kaniya', 'ni')",157
"('ngiti', 'sa', 'labi')",157
"('na', 'din', 'ang')",157
"('ni', 'juanito', 'at')",157
"('na', 'sabi', 'ko')",157
"('at', 'nakita', 'ko')",157
"('niya', 'ang', 'kanyang')",156
"('ng', 'mga', 'luha')",156
"('ngayon', 'ay', 'hindi')",156
"('ako', 'sa', 'isang')",156
"('pero', 'hindi', 'pa')",155
"('sa', 'kaniya', 'sa')",155
"('na', 'namin', 'ang')",155
"('napayuko', 'na', 'lang')",155
"('akala', 'ko', 'ay')",155
"('rolled', 'my', 'eyes')",154
"('ang', 'isa', 'sa')",154
"('ako', 'sa', 'paglalakad')",154
"('na', 'nakatingin', 'sa')",154
"('ang', 'pakiramdam', 'ko')",153
"('na', 'ito', 'ay')",153
"('was', 'about', 'to')",153
"('sa', 'kaniyang', 'mukha')",153
"('dahil', 'sa', 'gulat')",153
"('sa', 'amin', 'ang')",152
"('hindi', 'ka', 'pa')",152
"('naman', 'ako', 'kay')",152
"('rin', 'niya', 'ang')",152
"('na', 'siya', 'at')",152
"('napatango', 'naman', 'si')",152
"('hindi', 'ko', 'akalaing')",152
"('napangiti', 'na', 'lang')",152
"('ako', 'sa', 'kama')",152
"('akala', 'ko', 'ba')",152
"('muna', 'ako', 'sa')",152
"('lalo', 'na', 'ang')",151
"('niya', 'alam', 'kung')",151
"('ko', 'ng', 'tingin')",151
"('dahil', 'sa', 'matinding')",151
"('pa', 'ako', 'sa')",151
"('na', 'ba', 'ang')",151
"('hindi', 'naman', 'niya')",151
"('ka', 'sa', 'akin')",150
"('gusto', 'ko', 'lang')",150
"('sa', 'harapan', 'niya')",149
"('napatingin', 'sa', 'akin')",149
"('ang', 'buong', 'katawan')",149
"('sa', 'kamay', 'ni')",149
"('naman', 'ng', 'malalim')",149
"('ko', 'na', 'sana')",149
"('what', 'the', 'hell')",149
"('para', 'sa', 'kaniya')",149
"('na', 'sa', 'akin')",149
"('sa', 'amin', 'ni')",149
"('ngunit', 'napatigil', 'siya')",149
"('sa', 'mukha', 'ko')",149
"('gulat', 'na', 'gulat')",149
"('mahal', 'na', 'mahal')",148
"('araw', 'na', 'iyon')",148
"('naman', 'ako', 'at')",148
"('at', 'hinawakan', 'ang')",148
"('ako', 'nang', 'marinig')",148
"('ang', 'iba', 'pang')",147
"('niya', 'lang', 'ako')",147
"('nakatingin', 'sa', 'kaniya')",147
"('lang', 'siya', 'ng')",147
"('napatango', 'na', 'lang')",147
"('ko', 'sa', 'iyo')",147
"('ang', 'pangalan', 'ni')",147
"('ko', 'na', 'alam')",146
"('wika', 'pa', 'ni')",146
"('mula', 'sa', 'mga')",146
"('sa', 'pagkakataong', 'ito')",146
"('ng', 'tingin', 'sa')",146
"('ngunit', 'hindi', 'niya')",146
"('ang', 'bibig', 'ko')",146
"('wala', 'na', 'siyang')",146
"('sa', 'akin', 'kung')",145
"('i', 'tried', 'to')",145
"('ang', 'araw', 'na')",145
"('hindi', 'mo', 'na')",145
"('ko', 'na', 'naman')",145
"('shook', 'my', 'head')",145
"('si', 'celestina', 'at')",145
"('natapos', 'ang', 'sasabihin')",145
"('ni', 'martin', 'na')",145
"('you', 'need', 'to')",144
"('na', 'kami', 'ng')",144
"('niya', 'pa', 'rin')",144
"('si', 'don', 'facundo')",143
"('sana', 'ako', 'nang')",143
"('ko', 'sa', 'sarili')",143
"('ang', 'pangalan', 'ng')",143
"('nakita', 'ko', 'na')",142
"('ang', 'kaniyang', 'mukha')",142
"('sa', 'aking', 'isipan')",142
"('sa', 'kaniya', 'dahil')",142
"('isang', 'maliit', 'na')",142
"('hindi', 'mo', 'ba')",142
"('ng', 'mga', 'rebelde')",142
"('rin', 'ang', 'kaniyang')",141
"('ni', 'nikolas', 'sabay')",141
"('ni', 'maestra', 'villareal')",141
"('ang', 'braso', 'ko')",141
"('naman', 'siya', 'ng')",141
"('naman', 'ang', 'noo')",141
"('naalala', 'ko', 'na')",141
"('ko', 'ang', 'sarili')",141
"('anak', 'ni', 'don')",141
"('thank', 'you', 'for')",140
"('i', 'dont', 'think')",140
"('si', 'audrey', 'sa')",140
"('ko', 'siya', 'at')",140
"('i', 'told', 'you')",140
"('sabi', 'naman', 'ni')",140
"('sa', 'puso', 'ko')",140
"('kinuha', 'ko', 'na')",139
"('sa', 'huling', 'pagkakataon')",139
"('nakita', 'ko', 'si')",139
"('si', 'sirene', 'sa')",139
"('pa', 'siya', 'sa')",139
"('ang', 'tibok', 'ng')",139
"('na', 'ito', 'at')",139
"('saad', 'ni', 'martin')",138
"('sa', 'kamay', 'niya')",138
"('tawa', 'pa', 'ni')",138
"('ang', 'aking', 'paningin')",138
"('bukod', 'doon', 'ay')",138
"('makita', 'ko', 'ang')",138
"('at', 'naglakad', 'na')",138
"('ang', 'takbo', 'ng')",138
"('ko', 'lang', 'siya')",138
"('hindi', 'ko', 'mapigilang')",138
"('pa', 'ni', 'sir')",138
"('na', 'si', 'don')",137
"('ang', 'dahilan', 'kung')",137
"('tapat', 'ng', 'pintuan')",137
"('maging', 'siya', 'ay')",137
"('ko', 'akalain', 'na')",137
"('when', 'i', 'saw')",136
"('by', 'the', 'way')",136
"('at', 'agad', 'na')",136
"('napalingon', 'sa', 'kaniya')",136
"('ang', 'dibdib', 'ko')",135
"('kahit', 'anong', 'mangyari')",135
"('lang', 'sa', 'akin')",135
"('sa', 'akin', 'sa')",135
"('ang', 'sinabi', 'niya')",135
"('kailanman', 'ay', 'hindi')",135
"('na', 'hindi', 'ako')",135
"('na', 'mas', 'lalong')",135
"('sa', 'kaniyang', 'isipan')",135
"('ko', 'ay', 'hindi')",135
"('na', 'hindi', 'pa')",135
"('dahil', 'hindi', 'niya')",135
"('napahawak', 'na', 'lang')",134
"('sa', 'takot', 'na')",134
"('ni', 'nikolas', 'at')",134
"('ako', 'na', 'lang')",134
"('sa', 'kaniya', 'pero')",134
"('hindi', 'na', 'lang')",134
"('are', 'you', 'doing')",133
"('huminga', 'ako', 'nang')",133
"('natapos', 'yung', 'sasabihin')",133
"('ni', 'heneral', 'seleno')",133
"('ang', 'pinto', 'ng')",133
"('hindi', 'ko', 'akalain')",133
"('sa', 'akin', 'ay')",132
"('huwag', 'kang', 'magalala')",132
"('ng', 'kaniyang', 'mga')",132
"('mata', 'ko', 'at')",132
"('hindi', 'niya', 'pa')",132
"('at', 'hindi', 'pa')",132
"('tumingin', 'ako', 'sa')",132
"('sa', 'amin', 'si')",131
"('ako', 'sa', 'likod')",131
"('bagay', 'na', 'iyon')",131
"('mga', 'ito', 'sa')",131
"('halos', 'walang', 'kurap')",131
"('napatulala', 'na', 'lang')",131
"('ko', 'dahilan', 'para')",131
"('ni', 'audrey', 'ang')",131
"('na', 'ang', 'bahala')",130
"('he', 'looked', 'at')",130
"('na', 'naglalaman', 'ng')",130
"('ilan', 'sa', 'mga')",130
"('pero', 'hindi', 'niya')",130
"('lahat', 'ng', 'tao')",130
"('ni', 'don', 'mariano')",130
"('ni', 'aling', 'coring')",129
"('this', 'is', 'the')",129
"('i', 'didnt', 'know')",129
"('ni', 'commander', 'dado')",129
"('ang', 'luha', 'sa')",129
"('want', 'you', 'to')",129
"('na', 'sigaw', 'ni')",129
"('sa', 'iyo', 'ang')",129
"('si', 'juanito', 'sa')",129
"('sa', 'aking', 'sarili')",129
"('ang', 'mukha', 'nito')",129
"('akong', 'napatingin', 'sa')",129
"('maging', 'ang', 'mga')",128
"('ko', 'na', 'may')",128
"('ng', 'tingin', 'at')",128
"('ng', 'mga', 'taong')",128
"('pero', 'alam', 'kong')",128
"('ako', 'naman', 'ay')",128
"('nagulat', 'siya', 'nang')",128
"('napalunok', 'na', 'lang')",128
"('na', 'lang', 'ay')",128
"('kasabay', 'niyon', 'ay')",128
"('niya', 'pa', 'at')",127
"('lawa', 'ng', 'luha')",127
"('sana', 'ako', 'kaso')",127
"('na', 'din', 'ako')",127
"('na', 'wika', 'ni')",127
"('habang', 'nakatitig', 'sa')",127
"('na', 'saad', 'ni')",126
"('pa', 'ako', 'ng')",126
"('pero', 'hindi', 'ako')",126
"('ni', 'nikolas', 'na')",126
"('dont', 'know', 'what')",126
"('sa', 'huli', 'ay')",126
"('ito', 'na', 'ang')",126
"('pati', 'na', 'din')",125
"('ako', 'nang', 'may')",125
"('sa', 'isip', 'ko')",125
"('napailing', 'na', 'lang')",125
"('ako', 'sa', 'tabi')",125
"('si', 'don', 'mariano')",125
"('ng', 'bahay', 'nila')",125
"('ng', 'itim', 'na')",125
"('niya', 'sa', 'kaniyang')",125
"('ang', 'sarili', 'sa')",124
"('din', 'ako', 'ng')",124
"('ang', 'mga', 'salitang')",124
"('alam', 'mo', 'na')",124
"('sa', 'mukha', 'ni')",124
"('niya', 'ang', 'lahat')",124
"('ang', 'paningin', 'ko')",124
"('biglang', 'nagsalita', 'si')",124
"('ko', 'naman', 'siya')",124
"('nakaramdam', 'ako', 'ng')",124
"('ni', 'salome', 'na')",124
"('niya', 'ako', 'at')",124
"('na', 'lang', 'kami')",124
"('siya', 'nang', 'makita')",124
"('ni', 'doña', 'emilia')",124
"('ang', 'sinabi', 'ko')",123
"('mga', 'mata', 'ng')",123
"('na', 'nakaupo', 'sa')",123
"('mga', 'kaibigan', 'ko')",123
"('ito', 'sa', 'kaniya')",123
"('para', 'sa', 'mga')",122
